G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",8:00p,REG,,Houston Baptist,Southland,W,69,45,,1,0,W 1,Ed & Rae Schollmaier Arena
2,"Sat, Nov 28, 2020",7:30p,REG,N,Tulsa,AAC,W,70,65,,2,0,W 2,Sprint Center
3,"Sun, Nov 29, 2020",3:30p,REG,N,Liberty,A-Sun,W,56,52,,3,0,W 3,Sprint Center
4,"Thu, Dec 3, 2020",8:00p,REG,,Northwestern State,Southland,W,74,68,,4,0,W 4,Ed & Rae Schollmaier Arena
5,"Sun, Dec 6, 2020",4:00p,REG,,Oklahoma,Big 12,L,78,82,,4,1,L 1,Ed & Rae Schollmaier Arena
6,"Wed, Dec 9, 2020",5:00p,REG,,Providence,Big East,L,70,79,,4,2,L 2,Ed & Rae Schollmaier Arena
7,"Sat, Dec 12, 2020",2:00p,REG,N,Texas A&M,SEC,W,73,55,,5,2,W 1,
8,"Wed, Dec 16, 2020",7:00p,REG,@,Oklahoma State,Big 12,W,77,76,,6,2,W 2,Gallagher-Iba Arena
9,"Tue, Dec 22, 2020",9:00p,REG,,North Dakota State,Summit,W,89,82,,7,2,W 3,Ed & Rae Schollmaier Arena
10,"Wed, Dec 30, 2020",8:00p,REG,,Prairie View,SWAC,W,66,61,,8,2,W 4,Ed & Rae Schollmaier Arena
11,"Sat, Jan 2, 2021",2:00p,REG,@,Kansas State,Big 12,W,67,60,,9,2,W 5,Bramlage Coliseum
12,"Tue, Jan 5, 2021",10:00p,REG,,Kansas (6),Big 12,L,64,93,,9,3,L 1,Ed & Rae Schollmaier Arena
13,"Sat, Jan 9, 2021",3:00p,REG,,Baylor (2),Big 12,L,49,67,,9,4,L 2,Ed & Rae Schollmaier Arena
14,"Tue, Jan 12, 2021",7:30p,REG,@,Oklahoma,Big 12,L,46,82,,9,5,L 3,Lloyd Noble Center
15,"Thu, Jan 28, 2021",8:00p,REG,@,Kansas (15),Big 12,L,51,59,,9,6,L 4,Allen Fieldhouse
16,"Sat, Jan 30, 2021",2:00p,REG,@,Missouri (12),SEC,L,98,102,OT,9,7,L 5,Mizzou Arena
17,"Wed, Feb 3, 2021",9:00p,REG,,Oklahoma State,Big 12,W,81,78,,10,7,W 1,Ed & Rae Schollmaier Arena
18,"Tue, Feb 9, 2021",9:00p,REG,,Iowa State,Big 12,W,79,76,,11,7,W 2,Ed & Rae Schollmaier Arena
19,"Sat, Feb 13, 2021",2:00p,REG,@,Texas (13),Big 12,L,55,70,,11,8,L 1,Frank Erwin Center
20,"Sat, Feb 20, 2021",5:00p,REG,,Kansas State,Big 12,L,54,62,,11,9,L 2,Ed & Rae Schollmaier Arena
21,"Tue, Feb 23, 2021",7:00p,REG,,West Virginia (10),Big 12,L,66,74,,11,10,L 3,Ed & Rae Schollmaier Arena
22,"Sat, Feb 27, 2021",6:00p,REG,@,Iowa State,Big 12,W,76,72,,12,10,W 1,James H. Hilton Coliseum
23,"Tue, Mar 2, 2021",7:00p,REG,@,Texas Tech (18),Big 12,L,49,69,,12,11,L 1,United Supermarkets Arena
24,"Thu, Mar 4, 2021",7:00p,REG,@,West Virginia (6),Big 12,L,67,76,,12,12,L 2,WVU Coliseum
25,"Sun, Mar 7, 2021",7:00p,REG,,Texas (15),Big 12,L,64,76,,12,13,L 3,Ed & Rae Schollmaier Arena
26,"Wed, Mar 10, 2021",6:30p,CTOURN,N,Kansas State,Big 12,L,50,71,,12,14,L 4,Sprint Center